Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,2.37544,2.38e+03,9, 0, 132, 132, 132, 132
tsp_6_2,2.4,2.4e+03,9, 0, 80, 81, 92, 80
tsp_10,2.26,2.26e+03,8, 0, 212, 212, 212, 212
tsp_12,2.58,2.58e+03,8, 0, 264, 264, 264, 264
tsp_13,2.62,2.62e+03,7, 0, 269, 269, 269, 269
tsp_15,2.68,2.68e+03,7, 0, 291, 291, 291, 291
gr17,2.56,2.56e+03,6, 0, 2085, 2085, 2085, 2085
gr21,2.93,2.93e+03,6, 0, 2707, 2707, 2707, 2707
gr24,3.22,3.22e+03,6, 0, 1272, 1273, 1278, 1272
swiss42,6.43,6.43e+03,5, 0, 1273, 1278, 1301, 1273
gr48,3.4,3.4e+03,5, 0, 5046, 5066, 5085, 5046
st70,3.58,3.58e+03,5, 0.593, 679, 682, 685, 675
eil76,3.86,3.86e+03,5, 0.558, 541, 547, 557, 538
rat99,3.87,3.87e+03,5, 0.165, 1213, 1241, 1267, 1211
pr144,8.8,8.8e+03,5, 0.0905, 58590, 59185, 59953, 58537
u159,5.86,5.86e+03,5, 0.984, 42494, 42808, 43299, 42080
brg180,6.66,6.66e+03,4, 0, 1950, 1960, 1970, 1950
d198,6.89,6.89e+03,4, 0.989, 15936, 15975, 16010, 15780
gr202,7.24,7.24e+03,4, 1.55, 40781, 41163, 41438, 40160
gr229,7.65,7.65e+03,3, 3.31, 139058, 139539, 139963, 134602
gil262,8.75,8.75e+03,3, 4.25, 2479, 2493, 2511, 2378
lin318,9.52,9.52e+03,3, 3.16, 43357, 43465, 43662, 42029
fl417,11.7,1.17e+04,3, 2.23, 12126, 12194, 12322, 11861
pcb442,11.9,1.19e+04,3, 6.94, 54304, 54937, 55579, 50778
