Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,4.25303,4.25e+03,9, 0, 132, 132, 132, 132
tsp_6_2,4.54,4.54e+03,9, 0, 80, 80, 80, 80
tsp_10,4.92,4.92e+03,8, 0, 212, 212, 212, 212
tsp_12,4.87,4.87e+03,8, 0, 264, 264, 264, 264
tsp_13,5.19,5.19e+03,7, 0, 269, 269, 269, 269
tsp_15,5.41,5.41e+03,7, 0, 291, 291, 291, 291
gr17,5.43,5.43e+03,6, 0, 2085, 2085, 2090, 2085
gr21,5.8,5.8e+03,6, 0, 2707, 2707, 2707, 2707
gr24,6.35,6.35e+03,6, 0, 1272, 1272, 1272, 1272
swiss42,12.9,1.29e+04,5, 0, 1273, 1273, 1274, 1273
gr48,6.7,6.7e+03,5, 0.0595, 5049, 5064, 5079, 5046
st70,7.23,7.23e+03,5, 0, 675, 680, 687, 675
eil76,7.42,7.42e+03,5, 0.186, 539, 543, 548, 538
rat99,8.65,8.65e+03,5, 0.165, 1213, 1231, 1243, 1211
pr144,19.2,1.92e+04,5, 0, 58537, 58902, 59381, 58537
u159,12.9,1.29e+04,5, 0.209, 42168, 43054, 45127, 42080
brg180,13,1.3e+04,4, 0, 1950, 1955, 1960, 1950
d198,13.8,1.38e+04,4, 0.361, 15837, 15920, 16005, 15780
gr202,14.3,1.43e+04,4, 0.981, 40554, 40620, 40694, 40160
gr229,16.2,1.62e+04,3, 1.66, 136842, 138678, 140809, 134602
gil262,18.8,1.88e+04,3, 3.07, 2451, 2468, 2481, 2378
lin318,20.5,2.05e+04,3, 3.67, 43573, 43763, 44041, 42029
fl417,26.6,2.66e+04,3, 0.986, 11978, 12156, 12426, 11861
pcb442,27.1,2.71e+04,3, 5.06, 53346, 53679, 53947, 50778
