Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,1.08733,1.09e+03,9, 0, 132, 132, 132, 132
tsp_6_2,1.21,1.21e+03,9, 0, 80, 80, 80, 80
tsp_10,1.14,1.14e+03,8, 0, 212, 212, 212, 212
tsp_12,1.15,1.15e+03,8, 0, 264, 264, 264, 264
tsp_13,1.34,1.34e+03,7, 0, 269, 269, 269, 269
tsp_15,1.21,1.21e+03,7, 0, 291, 291, 291, 291
gr17,1.26,1.26e+03,6, 0, 2085, 2085, 2090, 2085
gr21,1.44,1.44e+03,6, 0, 2707, 2707, 2707, 2707
gr24,2.2,2.2e+03,6, 0, 1272, 1272, 1272, 1272
swiss42,3.17,3.17e+03,5, 0, 1273, 1289, 1346, 1273
gr48,1.77,1.77e+03,5, 0, 5046, 5070, 5089, 5046
st70,1.79,1.79e+03,5, 0.741, 680, 682, 687, 675
eil76,1.73,1.73e+03,5, 0.929, 543, 551, 557, 538
rat99,2.07,2.07e+03,5, 1.07, 1224, 1252, 1287, 1211
pr144,2.67,2.67e+03,5, 0.415, 58780, 59357, 60295, 58537
u159,2.95,2.95e+03,5, 2.46, 43116, 43341, 43634, 42080
brg180,3.18,3.18e+03,4, 0.513, 1960, 1960, 1960, 1950
d198,3.49,3.49e+03,4, 0.71, 15892, 16030, 16219, 15780
gr202,3.45,3.45e+03,4, 2.3, 41082, 41295, 41538, 40160
gr229,3.74,3.74e+03,3, 3.08, 138743, 139948, 141892, 134602
gil262,4.33,4.33e+03,3, 5.97, 2520, 2548, 2578, 2378
lin318,4.67,4.67e+03,3, 8.19, 45472, 45905, 46553, 42029
fl417,5.79,5.79e+03,3, 2.73, 12185, 12300, 12427, 11861
pcb442,5.87,5.87e+03,3, 8.51, 55097, 55925, 56436, 50778
