Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,2.84553,2.85e+03,9, 0, 132, 132, 132, 132
tsp_6_2,2.9,2.9e+03,9, 0, 80, 80, 85, 80
tsp_10,3.01,3.01e+03,8, 0, 212, 212, 212, 212
tsp_12,3.05,3.05e+03,8, 0, 264, 264, 264, 264
tsp_13,3.09,3.09e+03,7, 0, 269, 269, 269, 269
tsp_15,3.1,3.1e+03,7, 0, 291, 291, 291, 291
gr17,3.39,3.39e+03,6, 0, 2085, 2086, 2090, 2085
gr21,3.44,3.44e+03,6, 0, 2707, 2722, 2801, 2707
gr24,5.44,5.44e+03,6, 0, 1272, 1274, 1286, 1272
swiss42,9.13,9.13e+03,5, 0, 1273, 1275, 1284, 1273
gr48,4.34,4.34e+03,5, 0.238, 5058, 5104, 5142, 5046
st70,4.6,4.6e+03,5, 0.593, 679, 684, 690, 675
eil76,4.67,4.67e+03,5, 0.929, 543, 546, 550, 538
rat99,5.25,5.25e+03,5, 0.661, 1219, 1231, 1244, 1211
pr144,11.6,1.16e+04,5, 0.0905, 58590, 59199, 59966, 58537
u159,7.74,7.74e+03,5, 0.732, 42388, 42950, 43300, 42080
brg180,8.7,8.7e+03,4, 0, 1950, 1955, 1960, 1950
d198,8.75,8.75e+03,4, 0.849, 15914, 15979, 16139, 15780
gr202,9.28,9.28e+03,4, 1.37, 40710, 40970, 41205, 40160
gr229,10.3,1.03e+04,3, 3.04, 138695, 140159, 141267, 134602
gil262,11.5,1.15e+04,3, 2.31, 2433, 2481, 2514, 2378
lin318,12.6,1.26e+04,3, 3.15, 43352, 43877, 44182, 42029
fl417,15.2,1.52e+04,3, 2.87, 12201, 12260, 12298, 11861
pcb442,16.2,1.62e+04,3, 3.31, 52460, 53715, 54497, 50778
