Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,1.09187,1.09e+03,9, 0, 132, 132, 132, 132
tsp_6_2,1.06,1.06e+03,9, 0, 80, 80, 80, 80
tsp_10,2.3,2.3e+03,8, 0, 212, 212, 212, 212
tsp_12,1.01,1.01e+03,8, 0, 264, 264, 264, 264
tsp_13,1.03,1.03e+03,7, 0, 269, 269, 269, 269
tsp_15,1.06,1.06e+03,7, 0, 291, 291, 291, 291
gr17,1.09,1.09e+03,6, 0, 2085, 2087, 2090, 2085
gr21,1.16,1.16e+03,6, 0, 2707, 2707, 2707, 2707
gr24,1.19,1.19e+03,6, 0, 1272, 1272, 1272, 1272
swiss42,3.13,3.13e+03,5, 0, 1273, 1284, 1306, 1273
gr48,1.42,1.42e+03,5, 0.0595, 5049, 5077, 5092, 5046
st70,1.59,1.59e+03,5, 0, 675, 679, 683, 675
eil76,1.6,1.6e+03,5, 2.42, 551, 555, 560, 538
rat99,1.75,1.75e+03,5, 0.413, 1216, 1257, 1294, 1211
pr144,3.93,3.93e+03,5, 0.0905, 58590, 59617, 60517, 58537
u159,2.61,2.61e+03,5, 2.09, 42959, 43714, 44465, 42080
brg180,2.88,2.88e+03,4, 0.513, 1960, 1965, 1970, 1950
d198,3.06,3.06e+03,4, 1.17, 15965, 16154, 16370, 15780
gr202,3.06,3.06e+03,4, 1.55, 40783, 41182, 41521, 40160
gr229,3.52,3.52e+03,3, 3.9, 139855, 140359, 141329, 134602
gil262,3.68,3.68e+03,3, 6.31, 2528, 2545, 2570, 2378
lin318,4.22,4.22e+03,3, 5.01, 44136, 44935, 45377, 42029
fl417,5.15,5.15e+03,3, 2.71, 12182, 12431, 12819, 11861
pcb442,5.97,5.97e+03,3, 8.54, 55114, 55754, 56899, 50778
