Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,1.15964,1.16e+03,9, 0, 132, 132, 132, 132
tsp_6_2,1.2,1.2e+03,9, 0, 80, 80, 85, 80
tsp_10,1.26,1.26e+03,8, 0, 212, 212, 212, 212
tsp_12,1.3,1.3e+03,8, 0, 264, 264, 264, 264
tsp_13,1.26,1.26e+03,7, 0, 269, 269, 269, 269
tsp_15,1.33,1.33e+03,7, 0, 291, 291, 291, 291
gr17,1.35,1.35e+03,6, 0, 2085, 2085, 2088, 2085
gr21,1.46,1.46e+03,6, 0, 2707, 2723, 2803, 2707
gr24,2.2,2.2e+03,6, 0, 1272, 1273, 1278, 1272
swiss42,3.38,3.38e+03,5, 0, 1273, 1275, 1284, 1273
gr48,1.73,1.73e+03,5, 0.238, 5058, 5091, 5121, 5046
st70,1.87,1.87e+03,5, 0.889, 681, 685, 692, 675
eil76,1.9,1.9e+03,5, 0.929, 543, 551, 556, 538
rat99,2.11,2.11e+03,5, 1.07, 1224, 1255, 1289, 1211
pr144,4.74,4.74e+03,5, 0.029, 58554, 59211, 60188, 58537
u159,3.21,3.21e+03,5, 1.93, 42893, 43624, 44639, 42080
brg180,3.55,3.55e+03,4, 0, 1950, 1957, 1970, 1950
d198,3.78,3.78e+03,4, 1.66, 16042, 16177, 16317, 15780
gr202,3.78,3.78e+03,4, 1.37, 40710, 41587, 42303, 40160
gr229,4.08,4.08e+03,3, 4.18, 140234, 141109, 141797, 134602
gil262,4.6,4.6e+03,3, 4.58, 2487, 2552, 2594, 2378
lin318,5.07,5.07e+03,3, 5.91, 44512, 44854, 45141, 42029
fl417,6.42,6.42e+03,3, 5.55, 12519, 12671, 12816, 11861
pcb442,9.42,9.42e+03,3, 7.98, 54831, 55370, 56298, 50778
