Nazwa pliku,czas[s],czas[ms],ilosc testow,Blad, min, sredni, max, poprawny
tsp_6_1,2.27885,2.28e+03,9, 0, 132, 132, 132, 132
tsp_6_2,2.39,2.39e+03,9, 0, 80, 80, 80, 80
tsp_10,6.03,6.03e+03,8, 0, 212, 212, 212, 212
tsp_12,2.68,2.68e+03,8, 0, 264, 264, 264, 264
tsp_13,2.74,2.74e+03,7, 0, 269, 269, 269, 269
tsp_15,3.21,3.21e+03,7, 0, 291, 291, 291, 291
gr17,2.77,2.77e+03,6, 0, 2085, 2085, 2085, 2085
gr21,2.68,2.68e+03,6, 0, 2707, 2707, 2707, 2707
gr24,2.83,2.83e+03,6, 0, 1272, 1272, 1272, 1272
swiss42,8.06,8.06e+03,5, 0, 1273, 1273, 1273, 1273
gr48,3.37,3.37e+03,5, 0, 5046, 5078, 5150, 5046
st70,3.73,3.73e+03,5, 0.741, 680, 683, 689, 675
eil76,4.44,4.44e+03,5, 1.49, 546, 551, 555, 538
rat99,4.28,4.28e+03,5, 0.33, 1215, 1229, 1246, 1211
pr144,6.17,6.17e+03,5, 0, 58537, 58838, 59434, 58537
u159,7.13,7.13e+03,5, 0.903, 42460, 43186, 44003, 42080
brg180,7.27,7.27e+03,4, 0, 1950, 1957, 1960, 1950
d198,8.02,8.02e+03,4, 1.17, 15964, 16022, 16116, 15780
gr202,7.6,7.6e+03,4, 0.725, 40451, 40734, 41005, 40160
gr229,8.84,8.84e+03,3, 3.21, 138917, 139369, 139666, 134602
gil262,9.75,9.75e+03,3, 3.83, 2469, 2483, 2497, 2378
lin318,10.7,1.07e+04,3, 5.72, 44432, 44524, 44572, 42029
fl417,13.2,1.32e+04,3, 1.77, 12071, 12116, 12157, 11861
pcb442,13.1,1.31e+04,3, 6.68, 54168, 54453, 54727, 50778
